task,raw_input,input,output,raw_output
acsa,Lỗi mic rất ức chế và hao pin ngày đầu thì ổn gần hết tháng thì lồi ra thêm lỗi cay,lỗi mic rất ức chế và hao pin ngày đầu thì ổn gần hết tháng thì lồi ra thêm lỗi cay,tính năng tệ và pin tệ,"{FEATURES, negative}, {BATTERY, negative}"
acsa,"Mình sử dụng được 5 ngày, máy chụp hình siêu đẹp, chơi game Liên Quân bao đỉnh, xem phim nét. Có điều về phần pin mình cảm thấy chơi game không tốn nhiều, nhưng trạng thái chờ lại hao pin nhiều mới lạ lùng. Hoặc lướt FB rất hao luôn, mặc dù lướt ít, không hiểu sao ? Về phần lỗi Wf hay 4g hay máy nóng gì đó, tất cả đều không có.","mình sử dụng được num ngày , máy chụp hình siêu đẹp , chơi game liên quân bao đỉnh , xem phim nét . có điều về phần pin mình cảm thấy chơi game không tốn nhiều , nhưng trạng thái chờ lại hao pin nhiều mới lạ lùng . hoặc lướt mạng xã hội rất hao luôn , mặc dù lướt ít , không hiểu sao ? về phần lỗi wf hay num g hay máy nóng gì đó , tất cả đều không có .",màn hình tốt và máy ảnh tốt và pin tệ và hiệu suất tốt,"{SCREEN, positive}, {CAMERA, positive}, {BATTERY, negative}, {PERFORMANCE, positive}"
acsa,Với 2990 vivo y11 thật tuyệt không có gì để phàn nàn còn bạn nào muốn chơi game nặng thì tiền mua máy cũng phải nặng nhé !,với num vivo y num thật tuyệt không có gì để phàn nàn còn bạn nào muốn chơi game nặng thì tiền mua máy cũng phải nặng nhé !,giá tiền tạm và nói chung tốt,"{PRICE, neutral}, {GENERAL, positive}"
acsa,"Máy gì mà wifi yếu xìu lúc được lúc ko , nhà mình cũng có mấy máy khác thì xài bình thường chỉ có s20 ultra này là wifi chập chờn thôi ... lên thegioididong 3 lần rồi nhưng vẫn chưa giải quyết đc mua máy 6/3 đến nay gần hết 1 tháng rồi mà vẫn chưa giải quyếtMáy gì mà wifi yếu xìu lúc được lúc ko , nhà mình cũng có mấy máy khác thì xài bình thường chỉ có s20 ultra này là wifi chập chờn thôi ... lên thegioididong 3 lần rồi nhưng vẫn chưa giải quyết đc mua máy 6/3 đến nay gần hết 1 tháng rồi mà vẫn chưa giải quyết","máy gì mà wifi yếu xìu lúc được lúc không , nhà mình cũng có mấy máy khác thì xài bình thường chỉ có s num ultra này là wifi chập chờn thôi lên thegioididong num lần rồi nhưng vẫn chưa giải quyết được mua máy num num đến nay gần hết num tháng rồi mà vẫn chưa giải quyếtmáy gì mà wifi yếu xìu lúc được lúc không , nhà mình cũng có mấy máy khác thì xài bình thường chỉ có s num ultra này là wifi chập chờn thôi lên thegioididong num lần rồi nhưng vẫn chưa giải quyết được mua máy num num đến nay gần hết num tháng rồi mà vẫn chưa giải quyết",tính năng tệ,"{FEATURES, negative}"
acsa,"Mình thích sp này,pin xài lâu, máy lướt mượt và ok,vs giá này thì sp khá tốt rồi,wifi cũng khá nhanh mà....mình thấy ổn","mình thích sản phẩm này , pin xài lâu , máy lướt mượt và ok , với giá này thì sản phẩm khá tốt rồi , wifi cũng khá nhanh mà . mình thấy ổn",tính năng tốt và pin tốt và giá tiền tạm và nói chung tốt,"{FEATURES, positive}, {BATTERY, positive}, {PRICE, neutral}, {GENERAL, positive}"
acsa,"Vừa mua được một ngày thấy hoạt động vẫn ổn nhưng pin nhanh hết quá, thấy rất không hài lòng về pin của đt","vừa mua được một ngày thấy hoạt động vẫn ổn nhưng pin nhanh hết quá , thấy rất không hài lòng về pin của điện thoại",pin tệ và nói chung tốt,"{BATTERY, negative}, {GENERAL, positive}"
acsa,Dùng 1 tuần thấy ổn . máy chạy mượt . pin trâu . giá 4990 mà được máy như này thì ngon rồi,dùng num tuần thấy ổn . máy chạy mượt . pin trâu . giá num mà được máy như này thì ngon rồi,pin tốt và hiệu suất tốt và giá tiền tạm và nói chung tốt,"{BATTERY, positive}, {PERFORMANCE, positive}, {PRICE, neutral}, {GENERAL, positive}"
acsa,Máy mới lấy về xạt sao máy nóng quá thì có bị làm sao không mọi người. Cho mình xin ít phản hồi ah,máy mới lấy về xạt sao máy nóng quá thì có bị làm sao không mọi người . cho mình xin ít phản hồi à,pin tệ,"{BATTERY, negative}"
acsa,Vừa mua được 2 ngày kém không nên mua thất vọng màn hình mờ camera mờ chíp cùi bắp được nỗi cái dam khủng bộ nhớ khủng,vừa mua được num ngày kém không nên mua thất vọng màn hình mờ camera mờ chíp cùi bắp được nỗi cái dam khủng bộ nhớ khủng,màn hình tệ và máy ảnh tệ và hiệu suất tạm và bộ nhớ tốt và nói chung tệ,"{SCREEN, negative}, {CAMERA, negative}, {PERFORMANCE, neutral}, {STORAGE, positive}, {GENERAL, negative}"
acsa,"Không nên mua máy này sài rất chậm kết nối 4g chậm cực kỳ, khuyên mọi người không nên mua","không nên mua máy này sài rất chậm kết nối num g chậm cực kỳ , khuyên mọi người không nên mua",tính năng tệ và hiệu suất tệ và nói chung tệ,"{FEATURES, negative}, {PERFORMANCE, negative}, {GENERAL, negative}"
acsa,"Máy đẹp, cấu hình mạnh, chụp ảnh đẹp, màu trắng rất sang chảnh, tuyệt vời trong tầm giá!!!!","máy đẹp , cấu hình mạnh , chụp ảnh đẹp , màu trắng rất sang chảnh , tuyệt vời trong tầm giá ! ! ! !",máy ảnh tốt và hiệu suất tốt và thiết kế tốt và giá tiền tạm và nói chung tốt,"{CAMERA, positive}, {PERFORMANCE, positive}, {DESIGN, positive}, {PRICE, neutral}, {GENERAL, positive}"
acsa,Ngon quá pin trâu . Viền mỏng cấu hình cao mượt . Chụp ảnh hơn mấy con trung quốc . Tuyệt vời,ngon quá pin trâu . viền mỏng cấu hình cao mượt . chụp ảnh hơn mấy con trung quốc . tuyệt vời,màn hình tốt và máy ảnh tốt và pin tốt và hiệu suất tốt và nói chung tốt,"{SCREEN, positive}, {CAMERA, positive}, {BATTERY, positive}, {PERFORMANCE, positive}, {GENERAL, positive}"
acsa,"SP quá tuyệt vời, pin lâu, chụp hình quá đẹp, sp Apple ko có điểm gi để chê, Fan trung thành của nhà Táo","sản phẩm quá tuyệt vời , pin lâu , chụp hình quá đẹp , sản phẩm aple không có điểm gi để chê , fan trung thành của nhà táo",máy ảnh tốt và pin tốt và nói chung tốt và phục vụ với phụ kiện tốt,"{CAMERA, positive}, {BATTERY, positive}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,"Sản phẩm tốt. Chơi Pubg thì hơi nóng máy, hơi tiếc vì không có chức năng ghi âm cuộc gọi.","sản phẩm tốt . chơi pubg thì hơi nóng máy , hơi tiếc vì không có chức năng ghi âm cuộc gọi .",tính năng tệ và hiệu suất tệ và nói chung tốt,"{FEATURES, negative}, {PERFORMANCE, negative}, {GENERAL, positive}"
acsa,"Máy có mẫu mã đẹp, thời trang, pin sử dụng được 2 ngày, camera chụp đẹp, lướt web, zalo ok, giá phù hợp bình dân. Tôi đã mua và sử dụng máy, cảm thấy hài lòng","máy có mẫu mã đẹp , thời trang , pin sử dụng được num ngày , camera chụp đẹp , lướt web , zalo ok , giá phù hợp bình dân . tôi đã mua và sử dụng máy , cảm thấy hài lòng",máy ảnh tốt và tính năng tốt và pin tốt và thiết kế tốt và giá tiền tốt và nói chung tốt,"{CAMERA, positive}, {FEATURES, positive}, {BATTERY, positive}, {DESIGN, positive}, {PRICE, positive}, {GENERAL, positive}"
acsa,So rất đáng mua trong tầm giá những nhanh hết pin . Nhân viên tư vấn nhiệt tình nên mình cho 4sao,so rất đáng mua trong tầm giá những nhanh hết pin . nhân viên tư vấn nhiệt tình nên mình cho num sao,pin tệ và giá tiền tạm và nói chung tốt và phục vụ với phụ kiện tốt,"{BATTERY, negative}, {PRICE, neutral}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,Cho hỏi sao camera hay bị mất kết nối vậy.hay là bị lỗi.mong mọi ng chỉ giúp.mở chụp hình hoặc có ai gọi FB hoặc Zalo ko kết nối đc cam,cho hỏi sao camera hay bị mất kết nối vậy . hay là bị lỗi . mong mọi người chỉ giúp . mở chụp hình hoặc có ai gọi mạng xã hội hoặc zalo không kết nối được cam,máy ảnh tệ,"{CAMERA, negative}"
acsa,Máy mượt mà khi len ios 11 pin trâu màu đen đẹp tuyet cú mèo! Đáng túi tiền rất ưng ý quyết định đúng đắn khi mua e nó,máy mượt mà khi len ios num pin trâu màu đen đẹp tuyet cú mèo ! đáng túi tiền rất ưng ý quyết định đúng đắn khi mua em nó,pin tốt và hiệu suất tốt và thiết kế tốt và giá tiền tốt và nói chung tốt,"{BATTERY, positive}, {PERFORMANCE, positive}, {DESIGN, positive}, {PRICE, positive}, {GENERAL, positive}"
acsa,Điện thoại mượt chơi free fire cực mượt thích hợp leo rank đầu mùa chơi game chuẩn,điện thoại mượt chơi miễn phí fire cực mượt thích hợp leo rank đầu mùa chơi game chuẩn,hiệu suất tốt,"{PERFORMANCE, positive}"
acsa,"Máy tụt bin nhanh kinh khủng , mới mua 6 tháng giờ ngày sạc 2 lần, tối còn 77% bin, tắt mạng,tắt nguồn đi ngủ sáng dậy còn 44%.Trong khi máy không hề chơi game hay tải nhiều app.","máy tụt bin nhanh kinh khủng , mới mua num tháng giờ ngày sạc num lần , tối còn num % bin , tắt mạng , tắt nguồn đi ngủ sáng dậy còn num % . trong khi máy không hề chơi game hay tải nhiều ap .",pin tệ,"{BATTERY, negative}"
acsa,Tất cả ok. Nhung Sao man hình của đt có đường viền bóng mờ khi để chế độ ban đêm.,tất cả ok . nhung sao man hình của điện thoại có đường viền bóng mờ khi để chế độ ban đêm .,màn hình tệ và nói chung tốt,"{SCREEN, negative}, {GENERAL, positive}"
acsa,Chụp ảnh quay live ok các kiểu . Nhưng e đang thắc mắc một vấn đề là . E cài mở khóa khuôn mặt . Nhưng lúc nhăm mắt điện thoại tự động mở khóa. Do máy lỗi hay là note 10+ bị vậy ạ,chụp ảnh quay sống ok các kiểu . nhưng em đang thắc mắc một vấn đề là . em cài mở khóa khuôn mặt . nhưng lúc nhăm mắt điện thoại tự động mở khóa . do máy lỗi hay là ghi chú num + bị vậy ạ,máy ảnh tốt và tính năng tệ,"{CAMERA, positive}, {FEATURES, negative}"
acsa,"Quá ngon,k biết mấy b xài s chứ tui xài ngon mà,, chơi game nhiều quá phải hao chứ sao chê ngta mau tuột pin dc,sao vừa lòng dc các b,,,, nên mua","quá ngon , không biết mấy bạn xài s chứ tui xài ngon mà , , chơi game nhiều quá phải hao chứ sao chê người ta mau tuột pin được , sao vừa lòng được các bạn , , , , nên mua",nói chung tốt,"{GENERAL, positive}"
acsa,"Khoái nhất con này ở khoảng pin, mình chỉ dùng tác vụ nhẹ nên mỗi ngày chỉ sạc một lần (y)","khoái nhất con này ở khoảng pin , mình chỉ dùng tác vụ nhẹ nên mỗi ngày chỉ sạc một lần ( y )",pin tốt,"{BATTERY, positive}"
acsa,"Mới mua sáng nay. Thích Nokia và Android One nên không có lý do gì phải chần chừ. Mình chỉ dùng các ứng dụng cơ bản, văn phòng nên không ngại khoản game lag này nọ :D","mới mua sáng nay . thích nokia và android one nên không có lý do gì phải chần chừ . mình chỉ dùng các ứng dụng cơ bản , văn phòng nên không ngại khoản game lag này nọ : do",hiệu suất tốt và phục vụ với phụ kiện tốt,"{PERFORMANCE, positive}, {SER_ACC, positive}"
acsa,Máy không có chế độ bỏ túi phải làm sao shop.máy note 9s của mình thì lại có chế độ bỏ túi.,máy không có chế độ bỏ túi phải làm sao cửa hàng . máy ghi chú num s của mình thì lại có chế độ bỏ túi .,tính năng tệ,"{FEATURES, negative}"
acsa,Mua đc một tháng rồi dùng ổn mỗi tội hơi bâm vân tay. Chơi pubg mượt. Bị lỗi loa trong nhưng đi sửa là do chơi game nhiều nên đơ reset lại là đc. Pin trâu nhưng do các bn cứ để ý quá kiểu tụt pin 1 tý là lại lo. Quá ok với giá 5tr7,mua được một tháng rồi dùng ổn mỗi tội hơi bâm vân tay . chơi pubg mượt . bị lỗi loa trong nhưng đi sửa là do chơi game nhiều nên đơ làm mới lại là được . pin trâu nhưng do các bn cứ để ý quá kiểu tụt pin num tý là lại lo . quá ok với giá num tr num,tính năng tệ và pin tốt và hiệu suất tạm và thiết kế tệ và giá tiền tạm và nói chung tốt,"{FEATURES, negative}, {BATTERY, positive}, {PERFORMANCE, neutral}, {DESIGN, negative}, {PRICE, neutral}, {GENERAL, positive}"
acsa,Đã dùng được 9 tháng . Tôi cảm thấy rất ưng ý . Mọi thứ đều tốt máy không bị hư hỏng hay lỗi lầm gì .,đã dùng được num tháng . tôi cảm thấy rất ưng ý . mọi thứ đều tốt máy không bị hư hỏng hay lỗi lầm gì .,nói chung tốt,"{GENERAL, positive}"
acsa,"Máy chụp đẹp, sạc khá nhanh nhưng hiệu năng không mạnh chỉ giành cho những bạn gái, chớ ai mua chơi game thì không đc","máy chụp đẹp , sạc khá nhanh nhưng hiệu năng không mạnh chỉ giành cho những bạn gái , chớ ai mua chơi game thì không được",máy ảnh tốt và pin tốt và hiệu suất tệ,"{CAMERA, positive}, {BATTERY, positive}, {PERFORMANCE, negative}"
acsa,"Màn hình đẹp, camera chụp hình khá ổn. Pin tuột hơi nhanh. Lên mạng mượt, nói chung đáng mua","màn hình đẹp , camera chụp hình khá ổn . pin tuột hơi nhanh . lên mạng mượt , nói chung đáng mua",màn hình tốt và máy ảnh tốt và tính năng tốt và pin tệ và nói chung tốt,"{SCREEN, positive}, {CAMERA, positive}, {FEATURES, positive}, {BATTERY, negative}, {GENERAL, positive}"
acsa,Không nên mua. Thỉnh thoảng bị thoát ứng dụng . Cảm ứng k chuẩn. Vào các ứng dụng thì chậm,không nên mua . thỉnh thoảng bị thoát ứng dụng . cảm ứng không chuẩn . vào các ứng dụng thì chậm,tính năng tệ và hiệu suất tệ và nói chung tệ,"{FEATURES, negative}, {PERFORMANCE, negative}, {GENERAL, negative}"
acsa,"Máy thường xuyên sập nguồn dù chỉ lướt fb và xem youtube!!! Pin xuống nhanh kinh khủng. Xuống 10% pin từ 11h đêm đến 7h sáng hôm sau!!! Dù k bật mạng hay thao tác bất kỳ thứ gì trên đt!!! Bắt wifi cực kỳ tệ. Máy mới mua 4 ngày đơ không chịu nổi!!!! Không có một thứ gì đáng để đc khen trên dòng máy Joy3!!! Cực kỳ thất vọng về Vsmart!!!! Đưa ra thị trường dòng máy khá chán trong mọi mặt!!!! Với tâm thế ủng hộ hàng Việt, trong khi sản phẩm lại tệ như thế này thì em k biết liệu rằng mình có đặt niềm tin sai chỗ không?!!!!!","máy thường xuyên sập nguồn dù chỉ lướt mạng xã hội và xem youtube ! ! ! pin xuống nhanh kinh khủng . xuống num % pin từ num h đêm đến num h sáng hôm sau ! ! ! dù không bật mạng hay thao tác bất kỳ thứ gì trên điện thoại ! ! ! bắt wifi cực kỳ tệ . máy mới mua num ngày đơ không chịu nổi ! ! ! ! không có một thứ gì đáng để được khen trên dòng máy joy num ! ! ! cực kỳ thất vọng về vsmart ! ! ! ! đưa ra thị trường dòng máy khá chán trong mọi mặt ! ! ! ! với tâm thế ủng hộ hàng việt , trong khi sản phẩm lại tệ như thế này thì em không biết liệu rằng mình có đặt niềm tin sai chỗ không ? ! ! ! ! !",tính năng tệ và pin tệ và hiệu suất tệ và nói chung tệ và phục vụ với phụ kiện tệ,"{FEATURES, negative}, {BATTERY, negative}, {PERFORMANCE, negative}, {GENERAL, negative}, {SER_ACC, negative}"
acsa,máy có hiện tượng ...cam ứng bi liệt khi máy nóng lên phia trên gần camera trước bấm ko ăn luôn... Khi chơi liên quân ..đem ra tgdd đổi cái khác về thì hết bị .nhớ lại con (Samsung m20) cũng ltps cảm ứng bị chán nói chung giờ gặp ltps hơi sơ sơ... ..nên đa đổi sang con khác ...Thu sóng WiFi quá kém .. Còn lại ok ...camera thi thua con active 3 của vợ mình luôn ...,máy có hiện tượng cam ứng bi liệt khi máy nóng lên phia trên gần camera trước bấm không ăn luôn khi chơi liên quân . . đem ra tgd đổi cái khác về thì hết bị . nhớ lại con ( samsung m num ) cũng ltps cảm ứng bị chán nói chung giờ gặp ltps hơi sơ sơ . . nên đa đổi sang con khác thu sóng wifi quá kém . . còn lại ok camera thi thua con active num của vợ mình luôn,máy ảnh tệ và tính năng tệ và nói chung tốt,"{CAMERA, negative}, {FEATURES, negative}, {GENERAL, positive}"
acsa,"Trời ơi, cái điện thoại này nó loạn cảm ứng quá rồi phải làm sao. Muốn đập nó tan xác","trời ơi , cái điện thoại này nó loạn cảm ứng quá rồi phải làm sao . muốn đập nó tan xác",tính năng tệ,"{FEATURES, negative}"
acsa,Đt Oppo reno 2z không xài pin vẫn bị tụt Sạc đầy pin 100% 10h đêm tắc wifi ngủ z sáng 4h còn 64%,điện thoại opo reno num z không xài pin vẫn bị tụt sạc đầy pin num % num h đêm tắc wifi ngủ vậy sáng num h còn num %,pin tệ,"{BATTERY, negative}"
acsa,"Mình mua đc gần 1 tháng r Theo như trải nghiệm của mình thì máy pin OK, lướt wet thì hơi chậm khi, như lên f nhiều khi vào xem ảnh BT cũng dow chậm, xem Youtube cũng vậy. Chơi game bị giật nha MN, mà mình chỉ chơi liên quân không chơi pug hay các game khác. Thông tin tới các bạn muốn mua và trải nghiệm máy","mình mua được gần num tháng rồi theo như trải nghiệm của mình thì máy pin ok , lướt wet thì hơi chậm khi , như lên f nhiều khi vào xem ảnh biết cũng dow chậm , xem youtube cũng vậy . chơi game bị giật nha mọi người , mà mình chỉ chơi liên quân không chơi pug hay các game khác . thông tin tới các bạn muốn mua và trải nghiệm máy",tính năng tệ và pin tốt và hiệu suất tệ,"{FEATURES, negative}, {BATTERY, positive}, {PERFORMANCE, negative}"
acsa,Thấy yếu mỗi vân tay được thời gian đầu về sau ko đùn được nữa còn đâu cx sài vẫn được mà,thấy yếu mỗi vân tay được thời gian đầu về sau không đùn được nữa còn đâu cũng sài vẫn được mà,tính năng tệ,"{FEATURES, negative}"
acsa,"Xài từ trước tết đến giờ, công nhận đáng đồng tiền...máy mạnh, đẹp, pin trâu...nói túm lại quá xứng đáng khi mua ẻm này 🤩...thêm điểm + cho nv của tgdd ngay bùng binh Phú Lâm, Kinh Dương Vương Q6 vì tư vấn nhiệt tình, nói chuyện dễ thương từ a Quản Lý tới mấy bạn bán hàng đều nhiệt tình 👍","xài từ trước tết đến giờ , công nhận đáng đồng tiền máy mạnh , đẹp , pin trâu nói túm lại quá xứng đáng khi mua ẻm này tốt thêm điểm + cho nhân viên của tgd ngay bùng binh phú lâm , kinh dương vương q num vì tư vấn nhiệt tình , nói chuyện dễ thương từ anh quản lý tới mấy bạn bán hàng đều nhiệt tình tốt",pin tốt và hiệu suất tốt và thiết kế tốt và giá tiền tốt và nói chung tốt và phục vụ với phụ kiện tốt,"{BATTERY, positive}, {PERFORMANCE, positive}, {DESIGN, positive}, {PRICE, positive}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,Đt quá tệ bất wifi thì đầy sóng tạm được. Còn sim thì bất sóng tệ hơn.vào mạng .H ! cứ quay mải Hối hận đã chọn e này.thua con ss A5 cua mình gắn sim qua chạy phà phà,điện thoại quá tệ bất wifi thì đầy sóng tạm được . còn sim thì bất sóng tệ hơn . vào mạng . giờ ! cứ quay mải hối hận đã chọn em này . thua con s a num cua mình gắn sim qua chạy phà phà,tính năng tệ và nói chung tệ,"{FEATURES, negative}, {GENERAL, negative}"
acsa,"Máy ok , tuy nhiên chơi game nóng máy là bị lát giật kinh khủng, dùng 6s pl max cấu hình ko bị nhung 7 plus lại bị , ko bc lỗi do game hay hdh 12.3 nữa","máy ok , tuy nhiên chơi game nóng máy là bị lát giật kinh khủng , dùng num s pl siêu cấu hình không bị nhung num plus lại bị , không bc lỗi do game hay hdh num . num nữa",hiệu suất tệ và nói chung tốt,"{PERFORMANCE, negative}, {GENERAL, positive}"
acsa,Dùng gần 2 tháng thấy cũng ok có tội là pin tụi hơi nhanh wifi bắt hơi yếu chút còn lại ok,dùng gần num tháng thấy cũng ok có tội là pin tụi hơi nhanh wifi bắt hơi yếu chút còn lại ok,tính năng tệ và pin tệ và nói chung tốt,"{FEATURES, negative}, {BATTERY, negative}, {GENERAL, positive}"
acsa,Mình dùng máy đc hơn 1 tháng cảm thấy việc vào mạng của máy hơi kém ở những khu vực đông ng thì gần như là ko lướt web đc vào mạng cứ quay tít mù trong khi những máy xung quanh thì vẫn lướt đc bt còn lại mọi thứ thì ok mong nhà phát hành có lời giải đáp,mình dùng máy được hơn num tháng cảm thấy việc vào mạng của máy hơi kém ở những khu vực đông người thì gần như là không lướt web được vào mạng cứ quay tít mù trong khi những máy xung quanh thì vẫn lướt được biết còn lại mọi thứ thì ok mong nhà phát hành có lời giải đáp,tính năng tệ,"{FEATURES, negative}"
acsa,"Mẫu mã đẹp giá tốt, nhân viên tư vấn nhiệt tình. Chất lượng máy tốt, rqats okkk ..","mẫu mã đẹp giá tốt , nhân viên tư vấn nhiệt tình . chất lượng máy tốt , rqats ok . .",thiết kế tốt và giá tiền tốt và nói chung tốt và phục vụ với phụ kiện tốt,"{DESIGN, positive}, {PRICE, positive}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,Mua hai ngày xài ok.chien game mượt.pin.thi trâu bò.minh ko chụp ảnh nên cũng ít xài cammera.đien thoại ra ngoài trời hiển thị tốt rất thích.nhan viên tư vấn nhiệt tình.,mua hai ngày xài ok . chien game mượt . pin . thi trâu bò . minh không chụp ảnh nên cũng ít xài camera . đien thoại ra ngoài trời hiển thị tốt rất thích . nhan viên tư vấn nhiệt tình .,màn hình tốt và pin tốt và hiệu suất tốt và nói chung tốt và phục vụ với phụ kiện tốt,"{SCREEN, positive}, {BATTERY, positive}, {PERFORMANCE, positive}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,Màn hình tăng độ sáng 100/100 mà nhìn không rõ pin tuột nhanh như tuột quần nói chung là sp quá tệ giá bán quá cao 2tr là vừa,màn hình tăng độ sáng num num mà nhìn không rõ pin tuột nhanh như tuột quần nói chung là sản phẩm quá tệ giá bán quá cao num tr là vừa,màn hình tệ và pin tệ và giá tiền tệ và nói chung tệ,"{SCREEN, negative}, {BATTERY, negative}, {PRICE, negative}, {GENERAL, negative}"
acsa,mình nhớ hk nhầm là máy nầy có chống nước đúng hk TGĐ Máy thì phầm trâm pin có hơi bị tuộc nhanh?,mình nhớ hk nhầm là máy nầy có chống nước đúng hk tgđ máy thì phầm trâm pin có hơi bị tuộc nhanh ?,tính năng tạm và pin tệ,"{FEATURES, neutral}, {BATTERY, negative}"
acsa,Nếu sợ thì đừng mua còn đã mua thì hãy tin tưởng Vin. Active 3 sai khi được cập nhật VOS 3 đã khắc phục được lỗi bắt sóng kém và nâng cao trải nghiệm người dùng... Nói chung là tốt,nếu sợ thì đừng mua còn đã mua thì hãy tin tưởng vin . active num sai khi được cập nhật vos num đã khắc phục được lỗi bắt sóng kém và nâng cao trải nghiệm người dùng nói chung là tốt,tính năng tốt và hiệu suất tốt và nói chung tốt và phục vụ với phụ kiện tốt,"{FEATURES, positive}, {PERFORMANCE, positive}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,"Camera trước a50s chụp kém xa so với a50 , vân tay lúc ăn lúc ko , ngoài ra hiện tại vẫn đag thấy ổn","camera trước a num s chụp kém xa so với a num , vân tay lúc ăn lúc không , ngoài ra hiện tại vẫn đang thấy ổn",máy ảnh tệ và tính năng tệ và nói chung tốt,"{CAMERA, negative}, {FEATURES, negative}, {GENERAL, positive}"
acsa,Hiện tại mình dùng thì thấy máy mượt nhưng máy lúc nào cũng nóng và pin cũng ko trâu lắm. .,hiện tại mình dùng thì thấy máy mượt nhưng máy lúc nào cũng nóng và pin cũng không trâu lắm . .,pin tệ và hiệu suất tạm,"{BATTERY, negative}, {PERFORMANCE, neutral}"
acsa,"Mới mua 2 ngày ,Máy chạy ko mượt lắm ,pin lại tụt nhanh,giật lag khi xem youtube,choi games ko ngon lắm","mới mua num ngày , máy chạy không mượt lắm , pin lại tụt nhanh , giật lag khi xem youtube , choi games không ngon lắm",tính năng tệ và pin tệ và hiệu suất tệ,"{FEATURES, negative}, {BATTERY, negative}, {PERFORMANCE, negative}"
acsa,Loa nhỏ xíu ế. Bực mình. Không hài lòng. Đề nghị giải quyết . Came mờ nữa. Mọi ng nên texr kị trc khi mua,loa nhỏ xíu ế . bực mình . không hài lòng . đề nghị giải quyết . came mờ nữa . mọi người nên texr kị trước khi mua,máy ảnh tệ và tính năng tệ và nói chung tệ,"{CAMERA, negative}, {FEATURES, negative}, {GENERAL, negative}"
acsa,"Phiên bản nâng cấp của A5s , không khác A5s bao nhiêu , được cái rậm và rợm nhiều hơn . Chíp P35 tối ưu hóa pin rất tốt , phần mềm tương đối cùng mượt , mới tấc vụ cơ bản thì ok , những người lớn tuổi phù hợp với điện thoại này lóa to và rõ","phiên bản nâng cấp của a num s , không khác a num s bao nhiêu , được cái rậm và rợm nhiều hơn . chíp p num tối ưu hóa pin rất tốt , phần mềm tương đối cùng mượt , mới tấc vụ cơ bản thì ok , những người lớn tuổi phù hợp với điện thoại này lóa to và rõ",tính năng tốt và hiệu suất tốt và bộ nhớ tốt và nói chung tốt,"{FEATURES, positive}, {PERFORMANCE, positive}, {STORAGE, positive}, {GENERAL, positive}"
acsa,"Sp tuyệt vời xài rất ngon, màn hình đẹp k có rỗ như mọi người nói, pin trâu bò, lướt face, zalo, chơi game mà dc gần 1,5 ngày.","sản phẩm tuyệt vời xài rất ngon , màn hình đẹp không có rỗ như mọi người nói , pin trâu bò , lướt mạng xã hội , zalo , chơi game mà được gần num , num ngày .",màn hình tốt và pin tốt và nói chung tốt,"{SCREEN, positive}, {BATTERY, positive}, {GENERAL, positive}"
acsa,Mình mua máy cũng đc gần 1 tháng mình trải nghiệm cũng thấy mấy ổn định pin Sài gần 2 ngày mới hết mình ko chơi game lên cảm thấy ok cho em nó 4 stas nhân Viên phục vụ nhiệt tình,mình mua máy cũng được gần num tháng mình trải nghiệm cũng thấy mấy ổn định pin sài gần num ngày mới hết mình không chơi game lên cảm thấy ok cho em nó num stas nhân viên phục vụ nhiệt tình,pin tốt và nói chung tốt và phục vụ với phụ kiện tốt,"{BATTERY, positive}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,"Mình đặt mua con này vs giá khuyến mãi và hôm nay vừa nhận hàng. Chưa dùng nhiều nên ko biết chất lượng ổn ko, nhưng về nhà sạc pin thì máy khá là nóng, lúc pin đầy 100% thì mình rút sạc và cục nguồn nóng dã man luôn. Có ai bị giống vậy ko ạ?","mình đặt mua con này với giá khuyến mãi và hôm nay vừa nhận hàng . chưa dùng nhiều nên không biết chất lượng ổn không , nhưng về nhà sạc pin thì máy khá là nóng , lúc pin đầy num % thì mình rút sạc và cục nguồn nóng dã man luôn . có ai bị giống vậy không ạ ?",pin tệ,"{BATTERY, negative}"
acsa,"Mượt, phiên bản gold rất sang, nhân viên tại Tgdd tại Nha Trang lại tư vấn nhiệt tình","mượt , phiên bản gold rất sang , nhân viên tại tgd tại nha trang lại tư vấn nhiệt tình",hiệu suất tốt và thiết kế tốt và phục vụ với phụ kiện tốt,"{PERFORMANCE, positive}, {DESIGN, positive}, {SER_ACC, positive}"
acsa,Mình mua được gần 6 tháng ròi sài vẫn ok ngon chụp hình rất sắc mà sao mấy bạn đánh giá kì v,mình mua được gần num tháng ròi sài vẫn ok ngon chụp hình rất sắc mà sao mấy bạn đánh giá kì v,máy ảnh tốt và nói chung tốt,"{CAMERA, positive}, {GENERAL, positive}"
