task,raw_input,input,output,raw_output,reasoning
acsa,Quán nằm trong hẻm Tô Hiến Thành.,quán nằm trong hẻm tô hiến thành .,địa chỉ tạm,"{LOCATION#GENERAL, neutral}","Nhãn {LOCATION#GENERAL, neutral} được gán vì bài đánh giá chỉ đơn thuần đề cập đến vị trí của quán nằm trong hẻm Tô Hiến Thành mà không có bất kỳ nhận xét tích cực hoặc tiêu cực nào về vị trí này. Do đó, nhãn này được đánh giá là trung lập."
acsa,Rất hài lòng với món mì Ý của quán.,rất hài lòng với món mì ý của quán .,chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}","Nhãn {FOOD#QUALITY, positive} được gán vì bài đánh giá đề cập đến món mì Ý của quán với nhận xét rất hài lòng. Điều này cho thấy người đánh giá rất thích chất lượng món mì Ý tại quán, do đó, nhận xét này được gán nhãn tích cực liên quan đến chất lượng thức ăn."
acsa,"Green tea béo béo, ngọt vừa phải.","gren tea béo béo , ngọt vừa phải .",chất lượng đồ uống tốt,"{DRINKS#QUALITY, positive}","Nhãn {DRINKS#QUALITY, positive} được gán vì bài đánh giá đề cập đến chất lượng của đồ uống - trà xanh, với nhận xét tích cực. Người đánh giá cho biết trà xanh có độ béo và độ ngọt vừa phải, điều này cho thấy họ hài lòng với chất lượng của đồ uống."
acsa,"Mình gọi 1 phần Hambaaguu mix, 1 phần hambaaguu phomai và 1 salad khoai tây.","mình gọi num phần hambagu kếp hợp , num phần hambagu phomai và num salad khoai tây .",lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}","Nhãn {FOOD#STYLE&OPTIONS, neutral} được gán vì bài đánh giá đề cập đến các món ăn mà khách hàng đã gọi như Hambaaguu mix, Hambaaguu phomai và salad khoai tây. Tuy nhiên, không có bất kỳ nhận xét tích cực hoặc tiêu cực nào về chất lượng hoặc hương vị của các món ăn này, do đó, nhãn được gán là trung lập."
acsa,Các loại kem đa dạng với giá cả khá phải chăng.,các loại kem đa dạng với giá cả khá phải chăng .,lựa chọn đồ ăn tốt và giá tiền đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}, {FOOD#PRICES, positive}","Nhãn {FOOD#STYLE&OPTIONS, positive} được gán vì bài đánh giá đề cập đến sự đa dạng của các loại kem, điều này cho thấy người đánh giá hài lòng với số lượng và sự đa dạng của các lựa chọn kem tại nhà hàng. Nhãn {FOOD#PRICES, positive} được gán vì người đánh giá cũng nhận xét rằng giá cả của các loại kem khá phải chăng, điều này cho thấy họ hài lòng với mức giá của thực đơn kem."
acsa,"Quán chỉ có trệt, cũng khá rộng rãi, mát mẻ nhưng mình ko thích decor của quán cho lắm.","quán chỉ có trệt , cũng khá rộng rãi , mát mẻ nhưng mình không thích trang trí của quán cho lắm .",không gian tạm,"{AMBIENCE#GENERAL, neutral}","Nhãn {AMBIENCE#GENERAL, neutral} được gán vì bài đánh giá đề cập đến không gian của quán với những nhận xét trung lập. Người đánh giá cho biết quán rộng rãi và mát mẻ, điều này thể hiện một cảm nhận tích cực về không gian chung của quán. Tuy nhiên, họ cũng nói rằng họ không thích cách trang trí của quán, điều này thể hiện một cảm nhận tiêu cực. Do đó, hai nhận xét này tạo nên một cảm xúc trung lập về không gian chung của quán, dẫn đến việc gán nhãn {AMBIENCE#GENERAL, neutral}."
acsa,Hôm sau quay lại gọi 1 top blade 150gr.,hôm sau quay lại gọi num hạng blade num gr .,lựa chọn đồ ăn tạm,"{FOOD#STYLE&OPTIONS, neutral}","Nhãn {FOOD#STYLE&OPTIONS, neutral} được gán vì bài đánh giá chỉ đơn thuần nói về việc khách hàng quay lại và gọi một món ăn cụ thể là top blade 150gr mà không đưa ra bất kỳ ý kiến, cảm xúc tích cực hay tiêu cực nào về món ăn này. Do đó, nhãn này được đánh giá là trung lập."
acsa,Đồ ăn bình thường vừa miệng.,đồ ăn bình thường vừa miệng .,chất lượng đồ ăn tạm,"{FOOD#QUALITY, neutral}","Nhãn {FOOD#QUALITY, neutral} được gán vì bài đánh giá đề cập đến chất lượng đồ ăn ở mức ""bình thường vừa miệng"". Đây không phải là một nhận xét tiêu cực nhưng cũng không phải là một nhận xét tích cực rõ ràng, cho thấy người đánh giá không có cảm xúc mạnh mẽ hoặc ý kiến rõ ràng về chất lượng đồ ăn. Do đó, nhãn trung lập được gán cho khía cạnh này."
acsa,Không gian thoáng mát nên không ngột ngạt.,không gian thoáng mát nên không ngột ngạt .,không gian tốt,"{AMBIENCE#GENERAL, positive}","Nhãn {AMBIENCE#GENERAL, positive} được gán vì bài đánh giá đề cập đến không gian thoáng mát của nhà hàng, điều này cho thấy người đánh giá hài lòng với không gian chung của nhà hàng. Việc không gian thoáng mát giúp khách hàng cảm thấy thoải mái và không ngột ngạt khi ăn tại nhà hàng, do đó, nhận xét này được gán nhãn tích cực liên quan đến không gian chung."
acsa,"Món canh chỉ 22k mà 1 tô bự đủ 2 người ăn, có cải ngọt, thịt bằm, gan.","món canh chỉ giá tiền mà num tô bự đủ num người ăn , có cải ngọt , thịt bằm , gan .",lựa chọn đồ ăn tốt và giá tiền đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}, {FOOD#PRICES, positive}","Nhãn {FOOD#STYLE&OPTIONS, positive} được gán vì bài đánh giá đề cập đến sự đa dạng của món canh với nhiều thành phần như cải ngọt, thịt bằm, gan. Sự đa dạng này được đánh giá tích cực bởi người viết đánh giá. Nhãn {FOOD#PRICES, positive} được gán vì bài đánh giá nhấn mạnh rằng giá cả của món canh là 22k cho một tô lớn đủ cho hai người ăn, điều này cho thấy người viết đánh giá hài lòng với mức giá của món ăn."
acsa,"Giá đồ uống khá mềm, hợp với sv, hs.","giá đồ uống khá mềm , hợp với sinh viên , học sinh .",giá tiền đồ uống tốt,"{DRINKS#PRICES, positive}","Nhãn {DRINKS#PRICES, positive} được gán vì bài đánh giá đề cập đến giá cả của đồ uống là ""khá mềm"", điều này cho thấy người đánh giá hài lòng với mức giá của đồ uống tại quán. Thêm vào đó, người đánh giá còn nhấn mạnh rằng giá cả phù hợp với sinh viên, học sinh, điều này càng khẳng định rằng họ đánh giá tích cực về mức giá của đồ uống."
acsa,Nhân viên lúc order chống tay lên ghế mình ?,nhân viên lúc order chống tay lên ghế mình ?,phục vụ tệ,"{SERVICE#GENERAL, negative}","Nhãn {SERVICE#GENERAL, negative} được gán vì bài đánh giá đề cập đến thái độ không tôn trọng của nhân viên khi order, cụ thể là hành động chống tay lên ghế của khách hàng. Điều này cho thấy sự không hài lòng của khách hàng với chất lượng dịch vụ nói chung tại nhà hàng. Thái độ phục vụ không tốt của nhân viên có thể gây ảnh hưởng tiêu cực đến trải nghiệm của khách hàng, do đó, nhận xét này được gán nhãn tiêu cực liên quan đến dịch vụ."
acsa,Trân châu trắng nhiều mà giòn giòn nhai rất đã.,trân châu trắng nhiều mà giòn giòn nhai rất đã .,chất lượng đồ uống tốt và lựa chọn đồ uống tốt,"{DRINKS#QUALITY, positive}, {DRINKS#STYLE&OPTIONS, positive}","Nhãn {DRINKS#QUALITY, positive} được gán vì bài đánh giá đề cập đến chất lượng của trân châu trắng với nhận xét tích cực là ""giòn giòn nhai rất đã"", cho thấy người đánh giá hài lòng với chất lượng của trân châu trong thức uống. Nhãn {DRINKS#STYLE&OPTIONS, positive} được gán vì bài đánh giá cũng đề cập đến việc có nhiều trân châu trong thức uống, điều này cho thấy người đánh giá hài lòng với lựa chọn và phong cách phục vụ thức uống tại quán."
acsa,Nếu ai không uống quá ngọt hay quá nhạt thì 70 % đường là được.,nếu ai không uống quá ngọt hay quá nhạt thì num % đường là được .,lựa chọn đồ uống tạm,"{DRINKS#STYLE&OPTIONS, neutral}","Nhãn {DRINKS#STYLE&OPTIONS, neutral} được gán vì bài đánh giá đề cập đến việc điều chỉnh mức đường trong đồ uống, nhưng không có nhận xét tích cực hoặc tiêu cực rõ ràng về lựa chọn này. Người đánh giá chỉ đưa ra lời khuyên về mức đường phù hợp cho những người không thích uống quá ngọt hay quá nhạt, không phản ánh trực tiếp về chất lượng hoặc giá cả của đồ uống. Do đó, nhãn này được gán với lớp cảm xúc trung lập."
acsa,Mình thấy giá vậy cũng ổn vì đồ ăn ngon và no ;),mình thấy giá vậy cũng ổn vì đồ ăn ngon và no ; ),chất lượng đồ ăn tốt và giá tiền nhà hàng tốt,"{FOOD#QUALITY, positive}, {RESTAURANT#PRICES, positive}","Nhãn {FOOD#QUALITY, positive} được gán vì người đánh giá đã nhận xét rằng đồ ăn ở đây ngon, điều này cho thấy họ hài lòng với chất lượng thức ăn tại nhà hàng. Nhãn {RESTAURANT#PRICES, positive} được gán vì người đánh giá cũng cho rằng giá cả ở đây ổn, điều này cho thấy họ cảm thấy giá trị mà họ nhận được từ thức ăn và dịch vụ tại nhà hàng là xứng đáng với số tiền họ phải trả."
acsa,Quán shop and go ngay gần nhà mình nên rảnh rảnh thèm ăn mì thì cũng thường hay lại đây mua mấy đồ ăn vặt với ăn mì trộn 😎😎.,quán cửa hàng và đi ngay gần nhà mình nên rảnh rảnh thèm ăn mì thì cũng thường hay lại đây mua mấy đồ ăn vặt với ăn mì trộn tốt tốt .,địa chỉ tạm,"{LOCATION#GENERAL, neutral}","Nhãn {LOCATION#GENERAL, neutral} được gán vì bài đánh giá đề cập đến vị trí của quán là gần nhà người viết, nhưng không có bất kỳ nhận xét tích cực hoặc tiêu cực nào về vị trí này. Người viết chỉ đơn giản nói rằng quán nằm gần nhà họ và họ thường xuyên đến đó mua đồ ăn khi rảnh rỗi và thèm ăn mì. Do đó, nhãn này được gán với lớp cảm xúc trung lập."
acsa,"- 1 phần top blade 150g thịt hơi khô, dai xíu nhưng cũng ngon.","- num phần hạng blade num g thịt hơi khô , dai xíu nhưng cũng ngon .",chất lượng đồ ăn tốt và lựa chọn đồ ăn tạm,"{FOOD#QUALITY, positive}, {FOOD#STYLE&OPTIONS, neutral}","Nhãn {FOOD#QUALITY, positive} được gán vì người đánh giá đã nói rằng mặc dù thịt hơi khô và dai một chút nhưng vẫn ngon. Điều này cho thấy người đánh giá vẫn hài lòng với chất lượng thức ăn, dù có một số nhược điểm nhỏ. Nhãn {FOOD#STYLE&OPTIONS, neutral} được gán vì người đánh giá đã đề cập đến một món ăn cụ thể - phần top blade 150g, nhưng không có ý kiến rõ ràng về sự đa dạng hoặc phong cách của thực đơn, do đó cảm xúc của họ về khía cạnh này được coi là trung lập."
acsa,Và bàn ngồi sau mình kêu là sao gọi cấp 1 mà không cay thì 2 bạn nv đó không trloi và nói gì với nhau tiếp.,và bàn ngồi sau mình kêu là sao gọi cấp num mà không cay thì num bạn nhân viên đó không trloi và nói gì với nhau tiếp .,phục vụ tệ,"{SERVICE#GENERAL, negative}","Nhãn {SERVICE#GENERAL, negative} được gán vì bài đánh giá đề cập đến việc nhân viên không trả lời khi khách hàng phản hồi về món ăn. Điều này cho thấy sự không hài lòng của khách hàng với chất lượng dịch vụ nói chung. Việc nhân viên không trả lời hoặc không tương tác với khách hàng khi có vấn đề phát sinh có thể làm giảm trải nghiệm của khách hàng, do đó, nhận xét này được gán nhãn tiêu cực liên quan đến dịch vụ."
acsa,"- Phục vụ siêu tốt, nhiệt tình.","- phục vụ siêu tốt , nhiệt tình .",phục vụ tốt,"{SERVICE#GENERAL, positive}","Nhãn {SERVICE#GENERAL, positive} được gán vì bài đánh giá đề cập đến chất lượng dịch vụ của nhà hàng một cách tích cực. Cụ thể, người đánh giá đã nhận xét rằng dịch vụ ở đây ""siêu tốt, nhiệt tình"", điều này cho thấy họ rất hài lòng với cách phục vụ của nhân viên nhà hàng. Do đó, nhãn này được gán với lớp cảm xúc ""tích cực""."
acsa,"Nhân viên ở đây thì nhiệt tình, lịch sự và thân thiện lắm.","nhân viên ở đây thì nhiệt tình , lịch sự và thân thiện lắm .",phục vụ tốt,"{SERVICE#GENERAL, positive}","Nhãn {SERVICE#GENERAL, positive} được gán vì bài đánh giá đề cập đến sự nhiệt tình, lịch sự và thân thiện của nhân viên tại nhà hàng. Đây là những yếu tố quan trọng trong việc đánh giá chất lượng dịch vụ, và những nhận xét tích cực này cho thấy rằng người đánh giá đã có trải nghiệm tốt với dịch vụ tại nhà hàng."
acsa,"Đậu phộng mặn mặn, cay cay ăn lạ.","đậu phộng mặn mặn , cay cay ăn lạ .",chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}","Nhãn {FOOD#QUALITY, positive} được gán vì bài đánh giá đề cập đến chất lượng của món đậu phộng với nhận xét tích cực. Người đánh giá thích hương vị mặn mặn, cay cay của món đậu phộng, cho thấy họ hài lòng với chất lượng món ăn này."
acsa,Mấy anh chị nhân viên rất nhanh mình vừa order xong mới ngồi một tý mà đã có dù khá đông khách.,mấy anh chị nhân viên rất nhanh mình vừa order xong mới ngồi một tý mà đã có dù khá đông khách .,nhà hàng nói chung tạm và phục vụ tốt,"{RESTAURANT#GENERAL, neutral}, {SERVICE#GENERAL, positive}","Nhãn {RESTAURANT#GENERAL, neutral} được gán vì bình luận không đề cập đến bất kỳ khía cạnh cụ thể nào của nhà hàng như thức ăn, đồ uống, giá cả, vị trí, không gian,... mà chỉ nói chung chung về nhà hàng. Do đó, nhãn này được gán với trạng thái trung lập.

Nhãn {SERVICE#GENERAL, positive} được gán vì người đánh giá đã nhận xét rằng nhân viên phục vụ rất nhanh, mặc dù nhà hàng đông khách. Điều này cho thấy người đánh giá rất hài lòng với tốc độ phục vụ của nhà hàng, thể hiện rõ ràng qua việc chỉ mới ngồi một tý sau khi order mà đã có món. Do đó, nhãn này được gán với trạng thái tích cực."
acsa,Nay đi ăn thấy nhiều thịt bò lắm nhé hehee nhiều sushi nữa nhưng đáng tiếc cuối năm e ăn nhiều nên chỉ thích ăn rau ăn đậu thôi nên cứ thế dương mắt nhìn thịt ba chỉ thịt nạc bò lướt qua mà tay ko với miệng ko ăn chỉ ăn đúng đĩa bò mời và thôi là thôi.,nay đi ăn thấy nhiều thịt bò lắm nhé hehe nhiều sushi nữa nhưng đáng tiếc cuối năm em ăn nhiều nên chỉ thích ăn rau ăn đậu thôi nên cứ thế dương mắt nhìn thịt ba chỉ thịt nạc bò lướt qua mà tay không với miệng không ăn chỉ ăn đúng đĩa bò mời và thôi là thôi .,lựa chọn đồ ăn tốt,"{FOOD#STYLE&OPTIONS, positive}","Nhãn {FOOD#STYLE&OPTIONS, positive} được gán vì bài đánh giá đề cập đến sự đa dạng của các món ăn tại nhà hàng, bao gồm thịt bò và sushi. Người đánh giá đã nhận xét rằng có nhiều lựa chọn về thịt bò và sushi, điều này cho thấy sự hài lòng với các lựa chọn thức ăn tại nhà hàng. Mặc dù người đánh giá không thể thưởng thức tất cả do đã ăn nhiều, nhưng việc nhận biết sự đa dạng của thực đơn đã tạo ra một cảm nhận tích cực."
acsa,Quán mới xây lại nên cảm thấy không gian rỗng rãi hơn :)).,quán mới xây lại nên cảm thấy không gian rỗng rãi hơn : ) ) .,không gian tốt,"{AMBIENCE#GENERAL, positive}","Nhãn {AMBIENCE#GENERAL, positive} được gán vì bài đánh giá đề cập đến việc quán sau khi được xây lại đã tạo ra một không gian rộng rãi hơn. Điều này cho thấy người đánh giá hài lòng với không gian mới của quán, do đó, nhận xét này được gán nhãn tích cực liên quan đến không gian chung của quán."
acsa,"Nhân viên đứng sale là 1 phần bộ mặt quán r mà gặp ngay b này thì toi, vì mình đến nhiều lân trc và gặp các b nhân viên dth nên mình cũng k nhìn xấu về Đen Đá.","nhân viên đứng sale là num phần bộ mặt quán rồi mà gặp ngay bạn này thì toi , vì mình đến nhiều lân trước và gặp các bạn nhân viên dth nên mình cũng không nhìn xấu về đen đá .",phục vụ tệ và nhà hàng nói chung tạm,"{SERVICE#GENERAL, negative}, {RESTAURANT#GENERAL, neutral}","Nhãn {SERVICE#GENERAL, negative} được gán vì bài đánh giá đề cập đến sự không hài lòng với nhân viên đứng sale, người được coi là một phần của bộ mặt của quán. Điều này cho thấy rằng người viết đánh giá không hài lòng với chất lượng dịch vụ mà họ nhận được từ nhân viên này. Nhãn {RESTAURANT#GENERAL, neutral} được gán vì người viết đánh giá đã từng đến quán nhiều lần trước đó và có những trải nghiệm tốt với các nhân viên khác, do đó, họ không có cảm nhận tiêu cực hoặc tích cực mạnh mẽ về quán nói chung."
acsa,Bị cái hôm ấy rưới nước dâu hơi nhiều nên bánh mềm và bị nở ra ngán quá ăn không hết luôn :(((.,bị cái hôm ấy rưới nước dâu hơi nhiều nên bánh mềm và bị nở ra ngán quá ăn không hết luôn : ( ( ( .,chất lượng đồ ăn tạm,"{FOOD#QUALITY, neutral}","Nhãn {FOOD#QUALITY, neutral} được gán vì bài đánh giá đề cập đến chất lượng của món ăn, cụ thể là bánh, nhưng không thể hiện rõ ràng sự hài lòng hay không hài lòng. Người đánh giá cho biết bánh mềm và bị nở ra do rưới nước dâu quá nhiều, tuy nhiên, điều này không đủ để xác định rằng chất lượng của món ăn là tốt hay xấu. Do đó, nhãn trung lập được gán cho khía cạnh chất lượng thức ăn."
acsa,"Món ăn của Làng Việt thì khỏi phải bàn cãi rồi, món nào cũng ngon & hấp dẫn cả.","món ăn của làng việt thì khỏi phải bàn cãi rồi , món nào cũng ngon và hấp dẫn cả .",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt,"{FOOD#QUALITY, positive}, {FOOD#STYLE&OPTIONS, positive}","Nhãn {FOOD#QUALITY, positive} được gán vì bài đánh giá đề cập đến chất lượng món ăn tại Làng Việt một cách tích cực, với nhận xét rằng ""món nào cũng ngon"", cho thấy người đánh giá rất hài lòng với chất lượng món ăn. Nhãn {FOOD#STYLE&OPTIONS, positive} được gán vì bài đánh giá cũng đề cập đến sự hấp dẫn của các món ăn, điều này cho thấy người đánh giá cảm thấy hài lòng với sự đa dạng và phong cách của các món ăn tại nhà hàng."
acsa,"Quán này ở D2 khá là dễ tìm, còn có 1 chi nhánh ở đinh tiên hoàng nữa, không gian quán cũng okie, tầng trệt gửi xe, ăn trên lầu.","quán này ở d num khá là dễ tìm , còn có num chi nhánh ở đinh tiên hoàng nữa , không gian quán cũng ok , tầng trệt gửi xe , ăn trên lầu .",địa chỉ tốt và không gian tốt,"{LOCATION#GENERAL, positive}, {AMBIENCE#GENERAL, positive}","Nhãn {LOCATION#GENERAL, positive} được gán vì người đánh giá đã nhận xét rằng quán ở D2 khá dễ tìm và còn có thêm một chi nhánh ở đinh tiên hoàng, điều này cho thấy họ hài lòng với vị trí của quán. Nhãn {AMBIENCE#GENERAL, positive} được gán vì người đánh giá cũng nhận xét rằng không gian quán okie, và việc có chỗ gửi xe ở tầng trệt cũng là một điểm cộng cho không gian tổng thể của quán."
acsa,🍒Mỗi phần gồm 4 miếng gà rán phô mai cay nhưng ít sốt lắm với 1 miếng gà rán thường.,tốt phần gồm num miếng gà rán phô mai cay nhưng ít sốt lắm với num miếng gà rán thường .,lựa chọn đồ ăn tệ,"{FOOD#STYLE&OPTIONS, negative}","Nhãn {FOOD#STYLE&OPTIONS, negative} được gán vì bài đánh giá đề cập đến việc mỗi phần chỉ có 4 miếng gà rán phô mai cay và 1 miếng gà rán thường, cùng với việc ít sốt. Điều này cho thấy người đánh giá không hài lòng với lựa chọn và cách phục vụ món ăn, cụ thể là số lượng và lượng sốt đi kèm. Do đó, nhận xét này được gán nhãn tiêu cực liên quan đến phong cách và lựa chọn thực phẩm."
acsa,"Mà do hôm í bạn í ship bánh tới trễ làm mình vội mang đi, k kịp bày biện chụp ảnh đẹp.","mà do hôm í bạn í vận chuyển bánh tới trễ làm mình vội mang đi , không kịp bày biện chụp ảnh đẹp .",phục vụ tệ,"{SERVICE#GENERAL, negative}","Nhãn {SERVICE#GENERAL, negative} được gán vì bài đánh giá đề cập đến việc dịch vụ giao hàng của nhà hàng không tốt, khiến khách hàng phải chờ đợi lâu hơn dự kiến. Điều này đã gây ra sự bất tiện cho khách hàng khiến họ phải vội vã mang bánh đi mà không có thời gian để chụp ảnh. Sự không hài lòng này cho thấy khách hàng đánh giá tiêu cực về chất lượng dịch vụ nói chung của nhà hàng."
acsa,Không gian hơi bé và ở khu GV + nổi = đông.,không gian hơi bé và ở khu gv + nổi = đông .,nhà hàng nói chung tốt và không gian tệ,"{RESTAURANT#GENERAL, positive}, {AMBIENCE#GENERAL, negative}","Nhãn {RESTAURANT#GENERAL, positive} được gán vì bài đánh giá đề cập đến việc quán nằm ở khu GV và nổi tiếng, điều này cho thấy người đánh giá có cảm nhận tích cực về vị trí và sự nổi tiếng của nhà hàng nói chung. Nhãn {AMBIENCE#GENERAL, negative} được gán vì bài đánh giá đề cập đến không gian của quán hơi nhỏ, điều này cho thấy người đánh giá không hài lòng với không gian của quán, do đó, nhận xét này được gán nhãn tiêu cực liên quan đến không gian."
acsa,"Đa số học sinh, sinh viên ăn.","đa số học sinh , sinh viên ăn .",nhà hàng nói chung tạm,"{RESTAURANT#GENERAL, neutral}","Nhãn {RESTAURANT#GENERAL, neutral} được gán vì bài đánh giá chỉ đề cập đến việc đa số khách hàng của nhà hàng là học sinh, sinh viên mà không đưa ra bất kỳ nhận xét tích cực hoặc tiêu cực nào về nhà hàng nói chung. Do đó, nhận xét này được gán nhãn trung lập liên quan đến nhà hàng."
acsa,"- Quán nhỏ, trang trí đơn giản.","- quán nhỏ , trang trí đơn giản .",không gian tạm,"{AMBIENCE#GENERAL, neutral}","Nhãn {AMBIENCE#GENERAL, neutral} được gán vì bài đánh giá đề cập đến không gian của quán là nhỏ và trang trí đơn giản. Đây là một nhận xét trung lập vì không có bất kỳ ý kiến tích cực hoặc tiêu cực nào được đưa ra về không gian và cách trang trí của quán."
acsa,"Đồ ăn ngon, tươi sống !","đồ ăn ngon , tươi sống !",chất lượng đồ ăn tốt,"{FOOD#QUALITY, positive}","Nhãn {FOOD#QUALITY, positive} được gán vì bài đánh giá đề cập đến chất lượng của thức ăn với nhận xét tích cực. Cụ thể, người đánh giá cho biết thức ăn ngon và tươi sống, điều này cho thấy họ hài lòng với chất lượng thức ăn tại nhà hàng."
acsa,"Rất khó chịu, kiến đen và hôi, mình chỉ ăn đc 2 3 miếng nhưng miếng nào cũng có kiến nên bỏ k ăn thịt bò nữa, còn phở tính chung thì tạm đc.","rất khó chịu , kiến đen và hôi , mình chỉ ăn được num miếng nhưng miếng nào cũng có kiến nên bỏ không ăn thịt bò nữa , còn phở tính chung thì tạm được .",chất lượng đồ ăn tệ,"{FOOD#QUALITY, negative}","Nhãn {FOOD#QUALITY, negative} được gán vì bài đánh giá đề cập đến chất lượng thức ăn không tốt. Người đánh giá đã gặp phải vấn đề với kiến đen và mùi hôi trong thức ăn, đặc biệt là thịt bò, khiến họ không thể tiếp tục ăn. Điều này cho thấy sự không hài lòng với chất lượng thức ăn, do đó nhãn tiêu cực được gán cho khía cạnh này."
acsa,"Ngay giờ trưa thì quán đã khá đông khách, bạn mình nói tối còn đông hơn, nhiều khi không có chỗ.","ngay giờ trưa thì quán đã khá đông khách , bạn mình nói tối còn đông hơn , nhiều khi không có chỗ .",nhà hàng nói chung tốt,"{RESTAURANT#GENERAL, positive}","Nhãn {RESTAURANT#GENERAL, positive} được gán vì bài đánh giá đề cập đến việc quán luôn đông khách, đặc biệt là vào buổi trưa và tối. Điều này cho thấy quán rất phổ biến và được nhiều người ưa chuộng, điều này thể hiện một cảm nhận tích cực về quán nói chung. Mặc dù việc không có chỗ ngồi có thể gây phiền toái cho một số khách hàng, nhưng nó cũng phản ánh sự hấp dẫn và sự thành công của quán."
acsa,"2 tô nước khác nhau, tô mình ít nước súp hơn hẵn huhu vì ít nước súp nên làm tô mì khá mặn, k thể nào húp nước được luôn.","num tô nước khác nhau , tô mình ít nước súp hơn hẵn tệ vì ít nước súp nên làm tô mì khá mặn , không thể nào húp nước được luôn .",lựa chọn đồ ăn tệ và chất lượng đồ ăn tệ,"{FOOD#STYLE&OPTIONS, negative}, {FOOD#QUALITY, negative}","Nhãn {FOOD#STYLE&OPTIONS, negative} được gán vì bài đánh giá đề cập đến việc hai tô nước súp có lượng không đồng đều, tô của người viết bài đánh giá lại ít nước súp hơn. Điều này cho thấy sự không hài lòng với cách phục vụ món ăn, cụ thể là lựa chọn cách phân chia nước súp. Nhãn {FOOD#QUALITY, negative} được gán vì bài đánh giá cũng đề cập đến chất lượng của món ăn, với việc ít nước súp đã làm cho tô mì trở nên quá mặn và không thể ăn được. Điều này cho thấy người viết bài đánh giá không hài lòng với chất lượng món ăn."
acsa,"Quán rất rộng, nhưng toàn là ghế vs ghế, đường đi có tí tẹo, khá ngộp.","quán rất rộng , nhưng toàn là ghế với ghế , đường đi có tí tẹo , khá ngộp .",không gian tạm,"{AMBIENCE#GENERAL, neutral}","Nhãn {AMBIENCE#GENERAL, neutral} được gán vì bài đánh giá đề cập đến không gian của quán là rất rộng, tuy nhiên, việc quán chủ yếu là ghế với ghế và chỉ có một chút đường đi khiến cho không gian trở nên khá ngộp. Điều này cho thấy người đánh giá có cảm xúc trung lập về không gian chung của quán, không phải là tích cực hoặc tiêu cực rõ ràng."
acsa,"Cái điểm trừ nữa là tự nhiên hồi đầu có nước nhưng ko biết sao 1 hồi cái dẹp hết trơn, vừa ăn vừa khát TT ^ TT.","cái điểm trừ nữa là tự nhiên hồi đầu có nước nhưng không biết sao num hồi cái dẹp hết trơn , vừa ăn vừa khát t ^ t .",nhà hàng nói chung tệ,"{RESTAURANT#GENERAL, negative}","Nhãn {RESTAURANT#GENERAL, negative} được gán vì bài đánh giá đề cập đến việc không còn nước để uống trong quá trình ăn, điều này thể hiện sự không hài lòng với trạng thái chung của nhà hàng. Việc không có nước để uống khi đang ăn có thể làm giảm trải nghiệm của khách hàng, do đó, nhận xét này được gán nhãn tiêu cực liên quan đến nhà hàng nói chung."
acsa,"Trân châu dai nhưng hơi nhạt, ngọt xíu nữa là ngon.","trân châu dai nhưng hơi nhạt , ngọt xíu nữa là ngon .",chất lượng đồ uống tạm,"{DRINKS#QUALITY, neutral}","Nhãn {DRINKS#QUALITY, neutral} được gán vì bài đánh giá đề cập đến chất lượng của trân châu trong thức uống. Người đánh giá cho rằng trân châu có độ dai nhưng hơi nhạt, và nếu ngọt hơn một chút thì sẽ ngon hơn. Đây là một nhận xét trung lập vì người đánh giá không hoàn toàn hài lòng nhưng cũng không hoàn toàn không hài lòng với chất lượng của trân châu."
acsa,"Thực đơn ở đây cũng khá đa dạng từ món chính đến ăn vặt, nước uống, giá thì cũng vừa phải.","thực đơn ở đây cũng khá đa dạng từ món chính đến ăn vặt , nước uống , giá thì cũng vừa phải .",lựa chọn đồ ăn tốt và lựa chọn đồ uống tốt và giá tiền nhà hàng tạm,"{FOOD#STYLE&OPTIONS, positive}, {DRINKS#STYLE&OPTIONS, positive}, {RESTAURANT#PRICES, neutral}","Nhãn {FOOD#STYLE&OPTIONS, positive} được gán vì bài đánh giá đề cập đến sự đa dạng của thực đơn, từ món chính đến ăn vặt, điều này cho thấy người đánh giá hài lòng với số lượng và sự đa dạng của các món ăn tại nhà hàng. Nhãn {DRINKS#STYLE&OPTIONS, positive} được gán vì bài đánh giá cũng đề cập đến sự đa dạng của nước uống, điều này cho thấy người đánh giá cũng hài lòng với số lượng và sự đa dạng của các loại nước uống tại nhà hàng. Nhãn {RESTAURANT#PRICES, neutral} được gán vì bài đánh giá đề cập đến giá cả ở mức ""vừa phải"", không có nhận xét tích cực hoặc tiêu cực rõ ràng về giá cả tại nhà hàng, do đó, nhận xét này được gán nhãn trung lập liên quan đến giá cả."
